"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"1";"1";"1";"1";"1992-1";"1992 Gasolina"
"2";"1";"1";"1";"1991-1";"1991 Gasolina"
"3";"1";"21";"447";"2006-1";"2006 Gasolina"
"4";"1";"21";"447";"2005-1";"2005 Gasolina"
"5";"1";"21";"447";"2004-1";"2004 Gasolina"
"6";"1";"21";"447";"2003-1";"2003 Gasolina"
"7";"1";"21";"447";"2002-1";"2002 Gasolina"
"8";"1";"1";"2";"1998-1";"1998 Gasolina"
"9";"1";"1";"2";"1997-1";"1997 Gasolina"
"10";"1";"1";"2";"1996-1";"1996 Gasolina"
"11";"1";"1";"2";"1995-1";"1995 Gasolina"
"12";"1";"1";"2";"1994-1";"1994 Gasolina"
"13";"1";"1";"2";"1993-1";"1993 Gasolina"
"14";"1";"1";"2";"1992-1";"1992 Gasolina"
"15";"1";"1";"2";"1991-1";"1991 Gasolina"
"16";"1";"21";"448";"2003-1";"2003 Gasolina"
"17";"1";"21";"448";"2002-1";"2002 Gasolina"
"18";"1";"21";"449";"2006-1";"2006 Gasolina"
"19";"1";"21";"449";"2005-1";"2005 Gasolina"
"20";"1";"21";"449";"2004-1";"2004 Gasolina"
"21";"1";"1";"3";"1995-1";"1995 Gasolina"
"22";"1";"1";"3";"1994-1";"1994 Gasolina"
"23";"1";"1";"3";"1993-1";"1993 Gasolina"
"24";"1";"1";"3";"1992-1";"1992 Gasolina"
"25";"1";"1";"3";"1991-1";"1991 Gasolina"
"26";"1";"21";"3934";"2021-1";"2021 Gasolina"
"27";"1";"21";"3934";"2016-1";"2016 Gasolina"
"28";"1";"21";"3934";"2015-1";"2015 Gasolina"
"29";"1";"21";"3934";"2014-1";"2014 Gasolina"
"30";"1";"21";"3934";"2013-1";"2013 Gasolina"
"31";"1";"21";"3934";"2012-1";"2012 Gasolina"
"32";"1";"21";"3934";"2011-1";"2011 Gasolina"
"33";"1";"21";"3934";"2010-1";"2010 Gasolina"
"34";"1";"21";"3934";"2009-1";"2009 Gasolina"
"35";"1";"21";"3934";"2008-1";"2008 Gasolina"
"36";"1";"21";"3934";"2007-1";"2007 Gasolina"
"37";"1";"21";"3934";"2006-1";"2006 Gasolina"
"38";"1";"2";"4";"2007-3";"2007 Diesel"
"39";"1";"2";"4";"2006-3";"2006 Diesel"
"40";"1";"2";"4";"2005-3";"2005 Diesel"
"41";"1";"2";"4";"2004-3";"2004 Diesel"
"42";"1";"21";"5106";"2011-1";"2011 Gasolina"
"43";"1";"21";"5106";"2010-1";"2010 Gasolina"
"44";"1";"2";"4564";"2015-3";"2015 Diesel"
"45";"1";"2";"4564";"2014-3";"2014 Diesel"
"46";"1";"2";"4564";"2013-3";"2013 Diesel"
"47";"1";"2";"4564";"2012-3";"2012 Diesel"
"48";"1";"2";"4564";"2011-3";"2011 Diesel"
"49";"1";"2";"4564";"2010-3";"2010 Diesel"
"50";"1";"2";"4564";"2009-3";"2009 Diesel"
"51";"1";"2";"4564";"2008-3";"2008 Diesel"
"52";"1";"21";"450";"2003-1";"2003 Gasolina"
"53";"1";"21";"450";"2002-1";"2002 Gasolina"
"54";"1";"21";"451";"2006-1";"2006 Gasolina"
"55";"1";"21";"451";"2005-1";"2005 Gasolina"
"56";"1";"21";"451";"2004-1";"2004 Gasolina"
"57";"1";"21";"3935";"2010-1";"2010 Gasolina"
"58";"1";"21";"3935";"2009-1";"2009 Gasolina"
"59";"1";"21";"3935";"2008-1";"2008 Gasolina"
"60";"1";"21";"3935";"2007-1";"2007 Gasolina"
"61";"1";"21";"3935";"2006-1";"2006 Gasolina"
"62";"1";"2";"4563";"2015-3";"2015 Diesel"
"63";"1";"2";"4563";"2014-3";"2014 Diesel"
"64";"1";"2";"4563";"2013-3";"2013 Diesel"
"65";"1";"2";"4563";"2012-3";"2012 Diesel"
"66";"1";"2";"4563";"2011-3";"2011 Diesel"
"67";"1";"2";"4563";"2010-3";"2010 Diesel"
"68";"1";"2";"4563";"2009-3";"2009 Diesel"
"69";"1";"2";"4563";"2008-3";"2008 Diesel"
"70";"1";"2";"4563";"2007-3";"2007 Diesel"
"71";"1";"21";"5536";"2021-1";"2021 Gasolina"
"72";"1";"21";"5536";"2020-1";"2020 Gasolina"
"73";"1";"21";"5536";"2019-1";"2019 Gasolina"
"74";"1";"21";"5536";"2018-1";"2018 Gasolina"
"75";"1";"21";"5536";"2017-1";"2017 Gasolina"
"76";"1";"21";"5536";"2016-1";"2016 Gasolina"
"77";"1";"21";"5536";"2015-1";"2015 Gasolina"
"78";"1";"21";"5536";"2014-1";"2014 Gasolina"
"79";"1";"21";"5536";"2013-1";"2013 Gasolina"
"80";"1";"21";"5536";"2012-1";"2012 Gasolina"
"81";"1";"2";"4566";"2015-3";"2015 Diesel"
"82";"1";"2";"4566";"2014-3";"2014 Diesel"
"83";"1";"2";"4566";"2013-3";"2013 Diesel"
"84";"1";"2";"4566";"2012-3";"2012 Diesel"
"85";"1";"2";"4566";"2011-3";"2011 Diesel"
"86";"1";"2";"4566";"2010-3";"2010 Diesel"
"87";"1";"2";"4566";"2009-3";"2009 Diesel"
"88";"1";"2";"4566";"2008-3";"2008 Diesel"
"89";"1";"21";"452";"2006-1";"2006 Gasolina"
"90";"1";"21";"452";"2005-1";"2005 Gasolina"
"91";"1";"21";"452";"2004-1";"2004 Gasolina"
"92";"1";"21";"452";"2003-1";"2003 Gasolina"
"93";"1";"21";"452";"2002-1";"2002 Gasolina"
"94";"1";"2";"4565";"2015-3";"2015 Diesel"
"95";"1";"2";"4565";"2014-3";"2014 Diesel"
"96";"1";"2";"4565";"2013-3";"2013 Diesel"
"97";"1";"2";"4565";"2012-3";"2012 Diesel"
"98";"1";"2";"4565";"2011-3";"2011 Diesel"
"99";"1";"2";"4565";"2010-3";"2010 Diesel"
"100";"1";"2";"4565";"2009-3";"2009 Diesel"
"101";"1";"2";"4565";"2008-3";"2008 Diesel"
"102";"1";"21";"4097";"2011-1";"2011 Gasolina"
"103";"1";"21";"4097";"2010-1";"2010 Gasolina"
"104";"1";"21";"4097";"2009-1";"2009 Gasolina"
"105";"1";"21";"4097";"2008-1";"2008 Gasolina"
"106";"1";"21";"4097";"2007-1";"2007 Gasolina"
"107";"1";"2";"4567";"2022-3";"2022 Diesel"
