"id";"tipo";"id_marca";"id_marca_modelo";"name"
"1";"1";"1";"1";"Integra GS 1.8"
"2";"1";"1";"2";"Legend 3.2/3.5"
"3";"1";"1";"3";"NSX 3.0"
"4";"1";"2";"4";"MARRUÁ 2.8 12V 132cv TDI Diesel"
"4564";"1";"2";"4564";"MARRUÁ AM 100 2.8  CS TDI Diesel"
"4563";"1";"2";"4563";"MARRUÁ AM 100 2.8 CD TDI Diesel"
"4566";"1";"2";"4566";"MARRUÁ AM 150 2.8  CS TDI Diesel"
"4565";"1";"2";"4565";"MARRUÁ AM 150 2.8 CD TDI Diesel"
"4567";"1";"2";"4567";"MARRUÁ AM 200 2.8  CD TDI Diesel"
"4568";"1";"2";"4568";"MARRUÁ AM 200 2.8 CS TDI Diesel"
"10883";"1";"2";"10883";"MARRUÁ AM 200 Esc. 3.8 TDI Die.Aut. (E6)"
"9352";"1";"2";"9352";"MARRUÁ AM 200 Escolar 2.8 TDI Diesel"
"10884";"1";"2";"10884";"MARRUÁ AM 200 Escolar 3.8 TDI Die. (E6)"
"9353";"1";"2";"9353";"MARRUÁ AM 200 Microbus 2.8 TDI Diesel"
"10864";"1";"2";"10864";"MARRUÁ AM 250 3.8 CD TDI Die. Aut. (E6)"
"10569";"1";"2";"10569";"MARRUÁ AM 250 3.8 CD TDI Diesel (E6)"
"10865";"1";"2";"10865";"MARRUÁ AM 250 3.8 CS TDI Die. Aut. (E6)"
"10866";"1";"2";"10866";"MARRUÁ AM 250 3.8 CS TDI Diesel (E6)"
"4569";"1";"2";"4569";"MARRUÁ AM 50 2.8 140cv TDI Diesel"
"5";"1";"3";"5";"145 Elegant 1.7/1.8 16V"
"6";"1";"3";"6";"145 Elegant 2.0 16V"
"7";"1";"3";"7";"145 Quadrifoglio 2.0"
"8";"1";"3";"8";"145 QV"
"9";"1";"3";"9";"147 2.0 16V 148cv 4p Semi-Aut."
"10";"1";"3";"10";"155"
"11";"1";"3";"11";"155 Super"
"12";"1";"3";"12";"156 2.5 V6 24V 190cv 4p Aut."
"13";"1";"3";"13";"156 Sport Wagon 2.0 16V"
"14";"1";"3";"14";"156 Sport Wagon 2.5 V6 24V 4p Aut."
"15";"1";"3";"15";"156 TS/Sport/Elegant 2.0 16V"
"16";"1";"3";"16";"164 3.0 V6"
"17";"1";"3";"17";"164 Super V6 24V"
"18";"1";"3";"18";"166 3.0 V6 24V"
"19";"1";"3";"19";"2300 TI/TI-4"
"20";"1";"3";"20";"Spider 2.0/3.0"
"21";"1";"4";"21";"Hummer Hard-Top 6.5 4x4 Diesel TB"
"22";"1";"4";"22";"Hummer Open-Top 6.5 4x4 Diesel TB"
"23";"1";"4";"23";"Hummer Wagon 6.5 4x4 Diesel TB"
"24";"1";"5";"24";"AM-825 Luxo 4.0 Diesel"
"25";"1";"5";"25";"AM-825 Super Luxo 4.0 Diesel"
"26";"1";"5";"26";"Hi-Topic SLX/SDX/DLX Full Diesel"
"27";"1";"5";"27";"Hi-Topic STD Diesel"
"28";"1";"5";"28";"Hi-Topic Van 2.7 Diesel (furgão)"
"29";"1";"5";"29";"Jipe Rocsta GT 4x4 2.2 Diesel"
"30";"1";"5";"30";"Topic Carga 2.7 Diesel (furgão)"
"31";"1";"5";"31";"Topic Luxo Diesel"
"32";"1";"5";"32";"Topic Super Luxo Diesel"
"33";"1";"5";"33";"Towner Coach Full"
"34";"1";"5";"34";"Towner Furgão"
"35";"1";"5";"35";"Towner Glass Van"
"36";"1";"5";"36";"Towner Luxo"
"37";"1";"5";"37";"Towner Multiuso 5p"
"38";"1";"5";"38";"Towner Panel Van"
"39";"1";"5";"39";"Towner Pick-Up"
"40";"1";"5";"40";"Towner SDX / DLX/ STD"
"41";"1";"5";"41";"Towner Super Luxo"
"42";"1";"5";"42";"Towner Truck"
"6906";"1";"189";"6906";"DB9 Coupe 6.0 V12 510cv"
"6340";"1";"189";"6340";"DB9 Volante 6.0 V12 470cv"
"10560";"1";"189";"10560";"DBS Coupe 5.2 V12 725cv"
"10561";"1";"189";"10561";"DBX 4.0 V8 550cv"
"10562";"1";"189";"10562";"DBX707 4.0 V8 707cv"
"6341";"1";"189";"6341";"Rapide 6.0 V12 477cv"
"6907";"1";"189";"6907";"Rapide S 6.0 V12 550cv"
"6909";"1";"189";"6909";"Vanquish V12 6.0 565cv"
"6342";"1";"189";"6342";"Vantage 6.0 V12 510cv"
"6343";"1";"189";"6343";"Vantage Coupe 4.7 V8 425cv"
"10144";"1";"189";"10144";"Vantage Cupê  4.0 V8 510cv"
"10183";"1";"189";"10183";"Vantage Cupê F1 Edition 4.0 V8 535cv"
"6344";"1";"189";"6344";"Vantage Roadster 4.7 V8 420cv"
"10642";"1";"189";"10642";"Vantage Roadster F1 Edition 4.0 V8 535cv"
"6908";"1";"189";"6908";"Vantage S 6.0 V12 565cv"
